,db,ticker,date,open,high,low,adj_close,rownumber,short_ema,medium_ema,long_ema,positive_directional_index_indicator,negative_directional_index_indicator,adx_indicator,suport_line,resistance_line,max_axis,min_axis,trigger_field1,trigger_field2,trigger_field3,trigger_field4,trigger_field5,trigger_field6,atr,floatshort,company,earnings_date,call_time,estimate_eps,zero_line,twenty_five_line,forty_line,max_avg_upper,min_avg_low,name,industry,vol_spike_bar
133,MD_Investm,AFI,6/15/2021,5.52,5.81,5.52,5.72,102,5.78,5.91,5.83,10,23.57,-24.87,2.79,6.4,7.28,2.33,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.5,1.44,,,,,0,25,40,42.082325,12.876627,Armstrong Flooring Inc,General Building Materials,0
134,MD_Investm,AGFS,10/8/2021,2.1,2.26,2.1,2.22,21,2.19,2.17,2.15,12.96,27.78,-24.15,1.84,2.26,2.68,1.63,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.06,1.98,AgroFresh Solutions Inc,11/10/2021,After Market Close,-0.01,0,25,40,28.286395,5.780116,AgroFresh Solutions Inc,Conglomerates,0
135,MD_Investm,AGG,6/11/2021,115.31,115.32,115.16,115.23,104,114.94,114.78,114.77,31.77,15.1,-2.28,113.97,116.56,128.51,102.46,"rgb(232, 232, 232)","rgb(255, 255, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.55,0,,,,,0,25,40,39.755697,19.431511,iShares Core US Aggregate Bond ETF,ETF,0
136,MD_Investm,AGG,6/23/2021,115.06,115.14,114.99,115.05,96,115.03,114.91,114.77,12.5,17.05,-13.18,113.97,116.56,128.51,102.46,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.55,0,,,,,0,25,40,39.755697,19.431511,iShares Core US Aggregate Bond ETF,ETF,0
137,MD_Investm,AGG,7/13/2021,115.65,115.76,115.3,115.36,83,115.49,115.3,115.17,25.61,39.63,22.14,113.97,116.56,128.51,102.46,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.55,0,,,,,0,25,40,39.755697,19.431511,iShares Core US Aggregate Bond ETF,ETF,0
138,MD_Investm,AGG,7/22/2021,116.03,116.35,116.03,116.29,76,116.11,115.9,115.75,41.18,21.57,31.25,113.97,116.56,128.51,102.46,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.55,0,,,,,0,25,40,39.755697,19.431511,iShares Core US Aggregate Bond ETF,ETF,0
139,MD_Investm,AGG,8/30/2021,116.02,116.23,116,116.23,49,116.11,116.1,116.14,39.2,22.4,-1.85,113.97,116.56,128.51,102.46,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.55,0,,,,,0,25,40,39.755697,19.431511,iShares Core US Aggregate Bond ETF,ETF,0
140,MD_Investm,AGG,10/18/2021,114.33,114.56,114.25,114.49,15,114.47,114.76,114.99,31.34,44.78,-20.04,113.97,116.56,128.51,102.46,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(255, 255, 0)","rgb(255, 255, 0)","rgb(255, 255, 0)",0.55,0,,,,,0,25,40,39.755697,19.431511,iShares Core US Aggregate Bond ETF,ETF,0
141,MD_Investm,AGG,10/29/2021,114.35,114.78,114.35,114.64,6,114.44,114.52,114.8,29.94,24.84,-3.18,113.97,116.56,128.51,102.46,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.55,0,,,,,0,25,40,39.755697,19.431511,iShares Core US Aggregate Bond ETF,ETF,0
142,MD_Investm,AGI,8/2/2021,8.15,8.16,7.94,8.07,69,8.03,7.97,7.97,12.95,7.19,15.73,7.05,8.9,10.02,6.25,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.33,0.65,,,,,0,25,40,30.04779,12.235465,Alamos Gold Inc,Gold,0
143,MD_Investm,AGI,9/27/2021,7.17,7.35,7.1,7.16,30,7.3,7.43,7.41,17.39,35.65,-22.08,7.05,8.9,10.02,6.25,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.33,0.65,,,,,0,25,40,30.04779,12.235465,Alamos Gold Inc,Gold,0
144,MD_Investm,AGIO,6/30/2021,53.24,55.71,52.92,55.11,91,56.25,56.76,56.33,9.3,32.88,-7.11,40.99,60.4,68.38,36.89,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",1.62,11.98,,,,,0,25,40,34.845348,8.279883,Agios Pharmaceuticals Inc,Biotechnology,0
145,MD_Investm,AGIO,7/27/2021,49.69,50.26,47.86,48.59,73,51.46,52.46,53.23,3.1,54.6,-54.61,40.99,60.4,68.38,36.89,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",1.62,11.98,,,,,0,25,40,34.845348,8.279883,Agios Pharmaceuticals Inc,Biotechnology,0
146,MD_Investm,AGIO,10/5/2021,45.48,45.56,43.58,43.93,24,45.45,45.27,44.84,6.07,33.98,-7.82,40.99,60.4,68.38,36.89,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",1.62,11.98,,,,,0,25,40,34.845348,8.279883,Agios Pharmaceuticals Inc,Biotechnology,0
147,MD_Investm,AGL,6/11/2021,37,37.34,35.5,36.8,104,36.72,35.34,34.85,20.13,26.55,34.87,22.54,42.47,49.31,18.73,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.72,1.53,,,,,0,25,40,37.048023,8.209651,agilon health inc,Medical Care Facilities,0
148,MD_Investm,AGL,7/16/2021,34.6,34.99,34.04,34.1,80,35.05,36.79,36.5,7.49,32.49,-42.66,22.54,42.47,49.31,18.73,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.72,1.53,,,,,0,25,40,37.048023,8.209651,agilon health inc,Medical Care Facilities,0
