,db,ticker,date,open,high,low,adj_close,rownumber,short_ema,medium_ema,long_ema,positive_directional_index_indicator,negative_directional_index_indicator,adx_indicator,suport_line,resistance_line,max_axis,min_axis,trigger_field1,trigger_field2,trigger_field3,trigger_field4,trigger_field5,trigger_field6,atr,floatshort,company,earnings_date,call_time,estimate_eps,zero_line,twenty_five_line,forty_line,max_avg_upper,min_avg_low,name,industry,vol_spike_bar
172,MD_Investm,AGNC,9/10/2021,16.09,16.1,15.93,16.01,41,16.08,16.13,16.09,4.31,22.41,-36.06,15.62,17.18,20,14.06,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.25,2.38,,,,,0,25,40,35.73186,11.448953,AGNC Investment Corp,REIT,0
173,MD_Investm,AGNC,9/20/2021,15.84,15.96,15.74,15.91,35,15.95,16.05,16.04,5.75,33.33,-22.21,15.62,17.18,20,14.06,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",0.25,2.38,,,,,0,25,40,35.73186,11.448953,AGNC Investment Corp,REIT,0
174,MD_Investm,AGO,6/23/2021,46.01,47,46.01,46.49,96,46.42,46.77,46.79,19.37,21.85,-9.31,44.81,56.18,62.65,39.91,"rgb(232, 232, 232)","rgb(255, 255, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.14,3.15,,,,,0,25,40,37.656279,9.536511,Assured Guaranty Ltd,Insurance Specialty,0
175,MD_Investm,AGO,7/8/2021,45.83,46.11,44.96,45.37,86,46.42,46.25,46.34,10.53,41.58,-5.97,44.81,56.18,62.65,39.91,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.14,3.15,,,,,0,25,40,37.656279,9.536511,Assured Guaranty Ltd,Insurance Specialty,0
176,MD_Investm,AGO,7/9/2021,46.3,47.28,46.3,47.08,85,47.02,46.91,47.03,25.5,29.37,-7.67,44.81,56.18,62.65,39.91,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.14,3.15,,,,,0,25,40,37.656279,9.536511,Assured Guaranty Ltd,Insurance Specialty,0
177,MD_Investm,AGO,7/13/2021,47.88,48.06,46.99,47.25,83,47.17,47.01,47.13,24.55,18.01,-10.01,44.81,56.18,62.65,39.91,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.14,3.15,,,,,0,25,40,37.656279,9.536511,Assured Guaranty Ltd,Insurance Specialty,0
178,MD_Investm,AGO,8/27/2021,49.71,50.87,49.71,50.72,50,50.12,49.83,49.24,18.39,8.76,-4.61,44.81,56.18,62.65,39.91,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.14,3.15,,,,,0,25,40,37.656279,9.536511,Assured Guaranty Ltd,Insurance Specialty,0
179,MD_Investm,AGO,9/23/2021,47.29,48.3,47.29,47.65,32,47.19,47.8,48.16,31.67,14.97,-11.45,44.81,56.18,62.65,39.91,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",2.14,3.15,,,,,0,25,40,37.656279,9.536511,Assured Guaranty Ltd,Insurance Specialty,0
180,MD_Investm,AGQ,6/28/2021,46.19,46.46,45.94,46.15,93,46.04,48.42,48.99,15.74,22.17,-29.76,31.02,52.52,60.15,26.93,"rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",1.2,,,,,,0,25,40,42.110697,15.921162,ProShares Ultra Silver,ETF,0
181,MD_Investm,AGQ,7/7/2021,46.78,46.93,45.5,46.08,87,46.04,47.21,48.32,20.66,22.02,-8.48,31.02,52.52,60.15,26.93,"rgb(232, 232, 232)","rgb(255, 0, 0)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",1.2,,,,,,0,25,40,42.110697,15.921162,ProShares Ultra Silver,ETF,0
182,MD_Investm,AGQ,10/14/2021,35.65,36.32,35.2,36.21,17,34.79,34.45,35.56,44.93,10.7,48.14,31.02,52.52,60.15,26.93,"rgb(232, 232, 232)","rgb(77, 167, 75)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)","rgb(232, 232, 232)",1.2,,,,,,0,25,40,42.110697,15.921162,ProShares Ultra Silver,ETF,0
